datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2005-11-02,780.0769,99832.9301,35.1,100613.007,0.000316954092921,1.00613007,0.0
2005-11-03,804.8,99832.9301,35.1,100637.7301,0.000245724690447,1.006377301,0.0
2005-11-04,795.6915,99832.9301,35.1,100628.6216,-9.05078044879e-05,1.006286216,-9.05078044879e-05
2005-11-07,783.7203,99832.9301,35.1,100616.6504,-0.000118964165559,1.006166504,-0.000209461202862
2005-11-08,779.4264,99832.9301,35.1,100612.3565,-4.26758392665e-05,1.006123565,-0.000252128103195
2005-11-09,782.1589,99832.9301,35.1,100615.089,2.71586919842e-05,1.00615089,-0.000224976258681
2005-11-10,796.0819,99832.9301,35.1,100629.012,0.000138378846934,1.00629012,-8.66285437019e-05
2005-11-11,800.7663,99832.9301,35.1,100633.6964,4.65511874448e-05,1.006336964,-4.00813889188e-05
2005-11-14,799.5951,99832.9301,35.1,100632.5252,-1.16382488361e-05,1.006325252,-5.17191712777e-05
2005-11-15,810.3952,99832.9301,35.1,100643.3253,0.000107322160291,1.006433253,0.0
2005-11-16,845.1376,99832.9301,35.1,100678.0677,0.000345203220347,1.006780677,0.0
2005-11-17,839.5424,99832.9301,35.1,100672.4725,-5.5575162772e-05,1.006724725,-5.55751627721e-05
2005-11-18,840.0629,99832.9301,35.1,100672.993,5.17023161417e-06,1.00672993,-5.04052184945e-05
2005-11-21,845.2677,99832.9301,35.1,100678.1978,5.17000622002e-05,1.006781978,0.0
2005-11-22,865.5667,99832.9301,35.1,100698.4968,0.000201622599963,1.006984968,0.0
2005-11-23,873.2438,99832.9301,35.1,100706.1739,7.62384766799e-05,1.007061739,0.0
2005-11-25,902.2608,99832.9301,35.1,100735.1909,0.000288135263969,1.007351909,0.0
2005-11-28,906.4247,99832.9301,35.1,100739.3548,4.1335108047e-05,1.007393548,0.0
2005-11-29,886.1259,99832.9301,35.1,100719.056,-0.000201498213288,1.00719056,-0.000201498213288
2005-11-30,882.4824,99832.9301,35.1,100715.4125,-3.61748823381e-05,1.007154125,-0.000237665806452
2005-12-01,931.6683,99832.9301,35.1,100764.5984,0.000488365174496,1.007645984,0.0
2005-12-02,945.0708,99832.9301,35.1,100778.0009,0.000133008022786,1.007780009,0.0
2005-12-05,934.5309,99832.9301,35.1,100767.461,-0.000104585325229,1.00767461,-0.000104585325228
2005-12-06,963.548,99832.9301,35.1,100796.4781,0.000287961011541,1.007964781,0.0
2005-12-07,962.2467,99832.9301,35.1,100795.1768,-1.2910173297e-05,1.007951768,-1.2910173297e-05
2005-12-08,963.9383,99832.9301,35.1,100796.8684,1.67825490633e-05,1.007968684,0.0
2005-12-09,967.1914,99832.9301,35.1,100800.1215,3.22738201259e-05,1.008001215,0.0
2005-12-12,974.7384,99832.9301,35.1,100807.6685,7.48709414999e-05,1.008076685,0.0
2005-12-13,975.6493,99832.9301,35.1,100808.5794,9.03601892155e-06,1.008085794,0.0
2005-12-14,937.0032,99832.9301,35.1,100769.9333,-0.000383361220146,1.007699333,-0.000383361220146
2005-12-15,939.2153,99832.9301,35.1,100772.1454,2.19519843623e-05,1.007721454,-0.000361417651323
2005-12-16,925.2923,99832.9301,35.1,100758.2224,-0.000138163179366,1.007582224,-0.000499530896078
2005-12-19,928.8056,99832.9301,35.1,100761.7357,3.48686183254e-05,1.007617357,-0.000464679695704
2005-12-20,938.3045,99832.9301,35.1,100771.2346,9.42709048628e-05,1.007712346,-0.000370452596617
2005-12-21,956.3913,99832.9301,35.1,100789.3214,0.000179483759148,1.007893214,-0.000191035327693
2005-12-22,963.1576,99832.9301,35.1,100796.0877,6.71331040434e-05,1.007960877,-0.000123915048445
2005-12-23,954.4395,99832.9301,35.1,100787.3696,-8.64924442897e-05,1.007873696,-0.000210396775019
2005-12-27,965.8901,99832.9301,35.1,100798.8202,0.000113611457918,1.007988202,-9.68092205848e-05
2005-12-28,957.3022,99832.9301,35.1,100790.2323,-8.51984178283e-05,1.007902323,-0.000181999390421
2005-12-29,929.7164,99832.9301,35.1,100762.6465,-0.000273695172345,1.007626465,-0.000455644750411
2005-12-30,935.4418,99832.9301,35.1,100768.3719,5.68206592311e-05,1.007683719,-0.000398849981215
2006-01-03,972.6565,99832.9301,35.1,100805.5866,0.000369309330877,1.008055866,-2.9687949357e-05
2006-01-04,975.5191,99832.9301,35.1,100808.4492,2.83972356747e-05,1.008084492,-1.29155673809e-06
2006-01-05,967.842,99832.9301,35.1,100800.7721,-7.61553229013e-05,1.008007721,-7.74467812804e-05
2006-01-06,992.8252,99832.9301,35.1,100825.7553,0.000247847307908,1.008257553,0.0
2006-01-09,989.5722,99832.9301,35.1,100822.5023,-3.22635817638e-05,1.008225023,-3.22635817638e-05
2006-01-10,1052.1606,99832.9301,35.1,100885.0907,0.000620778085965,1.008850907,0.0
